ID,코드,종목명,AI매매구분,회당매수액,총금액,시작시간,종료시간,부분익절율,부분익절수량,최대익절율,부분손절율,부분손절수량,최대손절율
1,005930,삼성전자,분봉 매매,400000,4000000,09:00,15:00,0.5,30,1.0,-0.5,50,-3.0
2,402340,SK스퀘어,일봉 매매,35000,360000,09:00,15:00,0.5,40,2.0,-0.5,40,-2.0
